question,answer,chunk,chunk_id,source
What is the purpose of model signatures in MLflow?,"Model signatures in MLflow define input, output, and parameter schemas for models, providing a standard interface to codify and enforce the correct use of the models. Signatures are used by the MLflow Tracking UI and Model Registry UI to display model inputs, outputs, and parameters. They are also utilized by MLflow model deployment tools to validate inference inputs according to the model's assigned signature. To include a signature with a model, a model input example is passed as an argument to the log_model or save_model call. The model signature is stored in JSON format in the MLmodel file in the model artifacts.","[1, 2, 3]] # Passing some params -- add default values loaded_predict = loaded_model.predict([""input""], params={""str_param"": ""new_string""}) assert loaded_predict == [""new_string"", [1, 2, 3]] # Passing all params -- override loaded_predict = loaded_model.predict( [""input""], params={""str_param"": ""new_string"", ""int_array"": [4, 5, 6]} ) assert loaded_predict == [""new_string"", [4, 5, 6]] Model Signature Model signatures define input, output and parameters schemas for MLflow models, providing a standard interface to codify and enforce the correct use of your models. Signatures are fetched by the MLflow Tracking UI and Model Registry UI to display model inputs, outputs and params. They are also utilized by MLflow model deployment tools to validate inference inputs according to the model’s assigned signature (see the Signature enforcement section for more details). To include a signature with your model, pass a model input example as an argument to the appropriate log_model or save_model call, e.g. sklearn.log_model(), and the model signature will be automatically inferred (see the How to log models with signatures section for more details). The model signature is stored in JSON format in the MLmodel file in your model artifacts, together with other model metadata. To set a signature on a logged or saved model, use the set_signature() API (see the How to set signatures on models section for more details). Model Signature Types A model signature consists on inputs and outputs schemas,",8,models.html
What is the API used to set signatures on models?,The API used to set signatures on models is the set_signature() API.,"a logged or saved model, use the set_signature() API (see the How to set signatures on models section for more details). Model Signature Types A model signature consists on inputs and outputs schemas, each of which can be either column-based or tensor-based. Column-based schemas are a sequence of (optionally) named columns with type specified as one of the MLflow data types. Tensor-based schemas are a sequence of (optionally) named tensors with type specified as one of the numpy data types. Params schema is a sequence of ParamSpec, each of which contains name, type, default and shape fields. type field must be specified as one of the MLflow data types, and shape field should be None for scalar parameters, or (-1,) for list parameters. See some examples of constructing them below. Column-based Signature Example Each column-based input and output is represented by a type corresponding to one of MLflow data types and an optional name. Input columns can also be marked as optional, indicating whether they are required as input to the model or can be omitted. The following example displays a modified MLmodel file excerpt containing the model signature for a classification model trained on the Iris dataset. The input has 4 named, numeric columns and 1 named, optional string column. The output is an unnamed integer specifying the predicted class. signature: inputs: '[{""name"": ""sepal length (cm)"", ""type"": ""double""}, {""name"": ""sepal width (cm)"", ""type"": ""double""}, {""name"": ""petal",9,models.html
What components are used to generate the final time series?,"The final time series is generated by adding the seasonal component, trend component, and residual component.","numpy as np import pandas as pd from statsmodels.tsa.arima.model import ARIMA # create a time series dataset with seasonality np.random.seed(0) # generate a time index with a daily frequency dates = pd.date_range(start=""2022-12-01"", end=""2023-12-01"", freq=""D"") # generate the seasonal component (weekly) seasonality = np.sin(np.arange(len(dates)) * (2 * np.pi / 365.25) * 7) # generate the trend component trend = np.linspace(-5, 5, len(dates)) + 2 * np.sin( np.arange(len(dates)) * (2 * np.pi / 365.25) * 0.1 ) # generate the residual component residuals = np.random.normal(0, 1, len(dates)) # generate the final time series by adding the components time_series = seasonality + trend + residuals # create a dataframe from the time series data = pd.DataFrame({""date"": dates, ""value"": time_series}) data.set_index(""date"", inplace=True) order = (1, 0, 0) # create the ARIMA model model = ARIMA(data, order=order) mlflow.statsmodels.autolog( log_models=True, disable=False, exclusive=False, disable_for_unsupported_versions=False, silent=False, registered_model_name=None, ) with mlflow.start_run(): res = model.fit() mlflow.log_params( { ""order"": order, ""trend"": model.trend, ""seasonal_order"": model.seasonal_order, } ) mlflow.log_params(res.params) mlflow.log_metric(""aic"", res.aic) mlflow.log_metric(""bic"", res.bic) model_info = mlflow.statsmodels.log_model(res, artifact_path=""ARIMA_model"") # load the pyfunc model statsmodels_pyfunc = mlflow.pyfunc.load_model(model_uri=model_info.model_uri) #",61,models.html
What functionality does the configuration DataFrame submitted to the pyfunc flavor provide?,The configuration DataFrame submitted to the pyfunc flavor provides the functionality to generate a subset of forecast predictions based on the grouping key values in the first row. This functionality eliminates the need to filter a subset from the full output of all groups forecasts when only a few or one group's results are needed.,"is present in the configuration DataFrame submitted to the pyfunc flavor, the grouping key values in the first row will be used to generate a subset of forecast predictions. This functionality removes the need to filter a subset from the full output of all groups forecasts if the results of only a few (or one) groups are needed. For a GroupedPmdarima model, an example configuration for the pyfunc predict() method is: import mlflow import pandas as pd from pmdarima.arima.auto import AutoARIMA from diviner import GroupedPmdarima with mlflow.start_run(): base_model = AutoARIMA(out_of_sample_size=96, maxiter=200) model = GroupedPmdarima(model_template=base_model).fit( df=df, group_key_columns=[""country"", ""city""], y_col=""watts"", datetime_col=""datetime"", silence_warnings=True, ) mlflow.diviner.save_model(diviner_model=model, path=""/tmp/diviner_model"") diviner_pyfunc = mlflow.pyfunc.load_model(model_uri=""/tmp/diviner_model"") predict_conf = pd.DataFrame( { ""n_periods"": 120, ""groups"": [ (""US"", ""NewYork""), (""CA"", ""Toronto""), (""MX"", ""MexicoCity""), ], # NB: List of tuples required. ""predict_col"": ""wattage_forecast"", ""alpha"": 0.1, ""return_conf_int"": True, ""on_error"": ""warn"", }, index=[0], ) subset_forecasts = diviner_pyfunc.predict(predict_conf) Note There are several instances in which a configuration DataFrame submitted to the pyfunc predict() method will cause an MlflowException to be raised: If neither horizon or n_periods are provided. The value of n_periods or horizon is not an",84,models.html
What is a common configuration for lowering the total memory pressure for pytorch models within transformers pipelines?,A common configuration for lowering the total memory pressure for pytorch models within transformers pipelines is to modify the processing data type. This is achieved through setting the torch_dtype argument when creating a Pipeline.,"flavor will automatically apply the appropriate general signature that the pipeline type supports (only for a single-entity; collections will not be inferred). Scalability for inference A common configuration for lowering the total memory pressure for pytorch models within transformers pipelines is to modify the processing data type. This is achieved through setting the torch_dtype argument when creating a Pipeline. For a full reference of these tunable arguments for configuration of pipelines, see the training docs . Note This feature does not exist in versions of transformers < 4.26.x In order to apply these configurations to a saved or logged run, there are two options: Save a pipeline with the torch_dtype argument set to the encoding type of your choice. Example: import transformers import torch import mlflow task = ""translation_en_to_fr"" my_pipeline = transformers.pipeline( task=task, model=transformers.T5ForConditionalGeneration.from_pretrained(""t5-small""), tokenizer=transformers.T5TokenizerFast.from_pretrained( ""t5-small"", model_max_length=100 ), framework=""pt"", torch_dtype=torch.bfloat16, ) with mlflow.start_run(): model_info = mlflow.transformers.log_model( transformers_model=my_pipeline, artifact_path=""my_pipeline"", ) # Illustrate that the torch data type is recorded in the flavor configuration print(model_info.flavors[""transformers""]) Result: {'transformers_version': '4.28.1', 'code': None, 'task': 'translation_en_to_fr', 'instance_type': 'TranslationPipeline',",98,models.html
What does the save_model() function do?,"The save_model() function writes the model dependencies to a requirements.txt and conda.yaml file in the model output directory. It also saves the model itself in the specified path using the specified serialization format. If the serialization format is pickle, the model is saved using the pickle.dump() function. If the serialization format is not pickle, the model is saved using the cloudpickle.dump() function. Additionally, the save_model() function adds the pip dependencies produced by the flavor to the get_default_pip_requirements() function, which returns the default requirements defined in get_default_pip_requirements().","_CONDA_ENV_FILE_NAME), ""w"") as f: yaml.safe_dump(conda_env, stream=f, default_flow_style=False) if pip_constraints: write_to(os.path.join(path, _CONSTRAINTS_FILE_NAME), ""\n"".join(pip_constraints)) write_to(os.path.join(path, _REQUIREMENTS_FILE_NAME), ""\n"".join(pip_requirements)) _PythonEnv.current().to_yaml(os.path.join(path, _PYTHON_ENV_FILE_NAME)) def _save_model(model, path, serialization_format): with open(path, ""wb"") as out: if serialization_format == SERIALIZATION_FORMAT_PICKLE: pickle.dump(model, out) else: import cloudpickle cloudpickle.dump(model, out) The save_model() function also writes the model dependencies to a requirements.txt and conda.yaml file in the model output directory. For this purpose the set of pip dependecies produced by this flavor need to be added to the get_default_pip_requirements() function. In this example only the minimum required dependencies are provided. In practice, additional requirements needed for preprocessing or post-processing steps could be included. Note that for any custom flavor, the mlflow.models.infer_pip_requirements() method in the save_model() function will return the default requirements defined in get_default_pip_requirements() as package imports are only inferred for built-in flavors. def get_default_pip_requirements(include_cloudpickle=False): pip_deps = [_get_pinned_requirement(""sktime"")] if include_cloudpickle: pip_deps += [_get_pinned_requirement(""cloudpickle"")] return pip_deps def",129,models.html
What is an MLflow Project?,"An MLflow Project is a format for packaging data science code in a reusable and reproducible way, based primarily on conventions. It allows data scientists to organize and describe their code in a directory or a Git repository. MLflow Projects can be run using an API or command-line tools, and they can be chained together to create workflows. Each project can have a human-readable name and specify entry points, which are commands that can be run within the project with their respective parameters.","Documentation MLflow Projects MLflow Projects An MLflow Project is a format for packaging data science code in a reusable and reproducible way, based primarily on conventions. In addition, the Projects component includes an API and command-line tools for running projects, making it possible to chain together projects into workflows. Table of Contents Overview Specifying Projects Running Projects Iterating Quickly Building Multistep Workflows Overview At the core, MLflow Projects are just a convention for organizing and describing your code to let other data scientists (or automated tools) run it. Each project is simply a directory of files, or a Git repository, containing your code. MLflow can run some projects based on a convention for placing files in this directory (for example, a conda.yaml file is treated as a Conda environment), but you can describe your project in more detail by adding a MLproject file, which is a YAML formatted text file. Each project can specify several properties: NameA human-readable name for the project. Entry PointsCommands that can be run within the project, and information about their parameters. Most projects contain at least one entry point that you want other users to call. Some projects can also contain more than one entry point: for example, you might have a single Git repository containing multiple featurization algorithms. You can also call any .py or .sh file in the project as an entry point. If you list your entry points in a MLproject",0,projects.html
What are the entry points in a MLproject file and how can you specify parameters for them?,"The entry points in a MLproject file are the .py or .sh files in the project that can be called as an entry point. By listing the entry points in a MLproject file, you can specify parameters for them, including data types and default values. This allows you to customize the behavior of the entry points and pass different inputs to them when running the project.","might have a single Git repository containing multiple featurization algorithms. You can also call any .py or .sh file in the project as an entry point. If you list your entry points in a MLproject file, however, you can also specify parameters for them, including data types and default values. EnvironmentThe software environment that should be used to execute project entry points. This includes all library dependencies required by the project code. See Project Environments for more information about the software environments supported by MLflow Projects, including Conda environments, Virtualenv environments, and Docker containers. You can run any project from a Git URI or from a local directory using the mlflow run command-line tool, or the mlflow.projects.run() Python API. These APIs also allow submitting the project for remote execution on Databricks and Kubernetes. Important By default, MLflow uses a new, temporary working directory for Git projects. This means that you should generally pass any file arguments to MLflow project using absolute, not relative, paths. If your project declares its parameters, MLflow automatically makes paths absolute for parameters of type path. Specifying Projects By default, any Git repository or local directory can be treated as an MLflow project; you can invoke any bash or Python script contained in the directory as a project entry point. The Project Directories section describes how MLflow interprets directories as projects. To provide",1,projects.html
What are the project environments supported by MLflow?,"MLflow currently supports the following project environments: Virtualenv environment, conda environment, Docker container environment, and system environment. Virtualenv environments support Python packages available on PyPI. Docker containers allow you to capture non-Python dependencies such as Java libraries.","you can invoke any bash or Python script contained in the directory as a project entry point. The Project Directories section describes how MLflow interprets directories as projects. To provide additional control over a project’s attributes, you can also include an MLproject file in your project’s repository or directory. Finally, MLflow projects allow you to specify the software environment that is used to execute project entry points. Project Environments MLflow currently supports the following project environments: Virtualenv environment, conda environment, Docker container environment, and system environment. Virtualenv environment (preferred)Virtualenv environments support Python packages available on PyPI. When an MLflow Project specifies a Virtualenv environment, MLflow will download the specified version of Python by using pyenv and create an isolated environment that contains the project dependencies using virtualenv, activating it as the execution environment prior to running the project code. You can specify a Virtualenv environment for your MLflow Project by including a python_env entry in your MLproject file. For details, see the Project Directories and Specifying an Environment sections. Docker container environmentDocker containers allow you to capture non-Python dependencies such as Java libraries. When you run an MLflow project that specifies a Docker image, MLflow runs your image as is with the parameters specified in your MLproject file. In this case you’ll",2,projects.html
What is the purpose of the --build-image flag when running mlflow run?,The --build-image flag is used to run the project with a new image that is based on the specified image and contains the project's contents in the /mlflow/projects/code directory. It allows you to build and use a custom Docker image for running the MLflow project with the desired environment and code.,"such as Java libraries. When you run an MLflow project that specifies a Docker image, MLflow runs your image as is with the parameters specified in your MLproject file. In this case you’ll need to pre build your images with both environment and code to run it. To run the project with a new image that’s based on your image and contains the project’s contents in the /mlflow/projects/code directory, use the --build-image flag when running mlflow run. Environment variables, such as MLFLOW_TRACKING_URI, are propagated inside the Docker container during project execution. Additionally, runs and experiments created by the project are saved to the tracking server specified by your tracking URI. When running against a local tracking URI, MLflow mounts the host system’s tracking directory (e.g., a local mlruns directory) inside the container so that metrics, parameters, and artifacts logged during project execution are accessible afterwards. See Dockerized Model Training with MLflow for an example of an MLflow project with a Docker environment. To specify a Docker container environment, you must add an MLproject file to your project. For information about specifying a Docker container environment in an MLproject file, see Specifying an Environment. Conda environmentConda environments support both Python packages and native libraries (e.g, CuDNN or Intel MKL). When an MLflow Project specifies a Conda environment, it is activated before project code is run. Warning By using conda, you’re",3,projects.html
What is the purpose of specifying a Conda environment in an MLflow project?,"The purpose of specifying a Conda environment in an MLflow project is to ensure that the project code is run in a specific environment with the required dependencies. When a Conda environment is specified, it is activated before the project code is executed. This allows for better reproducibility and control over the project's runtime environment. By using Conda, the user is responsible for adhering to Anaconda's terms of service. MLflow uses the system path to find and run the Conda binary by default, but a different Conda installation can be used by setting the MLFLOW_CONDA_HOME environment variable.","both Python packages and native libraries (e.g, CuDNN or Intel MKL). When an MLflow Project specifies a Conda environment, it is activated before project code is run. Warning By using conda, you’re responsible for adhering to Anaconda’s terms of service. By default, MLflow uses the system path to find and run the conda binary. You can use a different Conda installation by setting the MLFLOW_CONDA_HOME environment variable; in this case, MLflow attempts to run the binary at $MLFLOW_CONDA_HOME/bin/conda. You can specify a Conda environment for your MLflow project by including a conda.yaml file in the root of the project directory or by including a conda_env entry in your MLproject file. For details, see the Project Directories and Specifying an Environment sections. The mlflow run command supports running a conda environment project as a virtualenv environment project. To do this, run mlflow run with --env-manager virtualenv: mlflow run /path/to/conda/project --env-manager virtualenv Warning When a conda environment project is executed as a virtualenv environment project, conda dependencies will be ignored and only pip dependencies will be installed. System environmentYou can also run MLflow Projects directly in your current system environment. All of the project’s dependencies must be installed on your system prior to project execution. The system environment is supplied at runtime. It is not part of the MLflow Project’s directory contents or MLproject file. For information",4,projects.html
What is the purpose of the MLproject file?,"The MLproject file is used to specify the attributes of an MLflow project, such as the project's name, Conda environment, and entry points. It allows users to define and configure their projects in a standardized way. The MLproject file also allows users to specify runtime parameters that can be passed to the project's entry points when running the project.","must be installed on your system prior to project execution. The system environment is supplied at runtime. It is not part of the MLflow Project’s directory contents or MLproject file. For information about using the system environment when running a project, see the Environment parameter description in the Running Projects section. Project Directories When running an MLflow Project directory or repository that does not contain an MLproject file, MLflow uses the following conventions to determine the project’s attributes: The project’s name is the name of the directory. The Conda environment is specified in conda.yaml, if present. If no conda.yaml file is present, MLflow uses a Conda environment containing only Python (specifically, the latest Python available to Conda) when running the project. Any .py and .sh file in the project can be an entry point. MLflow uses Python to execute entry points with the .py extension, and it uses bash to execute entry points with the .sh extension. For more information about specifying project entrypoints at runtime, see Running Projects. By default, entry points do not have any parameters when an MLproject file is not included. Parameters can be supplied at runtime via the mlflow run CLI or the mlflow.projects.run() Python API. Runtime parameters are passed to the entry point on the command line using --key value syntax. For more information about running projects and with runtime parameters, see Running Projects. MLproject File You can get",5,projects.html
How can you pass runtime parameters to the entry point of an MLflow Project?,"Runtime parameters can be passed to the entry point of an MLflow Project on the command line using the --key value syntax. For more information about running projects and with runtime parameters, see the 'Running Projects' section. Additionally, you can also add an MLproject file to the project's root directory to have more control over the project. The MLproject file is a text file in YAML syntax and can specify a name, a Conda or Docker environment, as well as more detailed information about each entry point. Each entry point defines a command to run and parameters to pass to the command, including data types.","are passed to the entry point on the command line using --key value syntax. For more information about running projects and with runtime parameters, see Running Projects. MLproject File You can get more control over an MLflow Project by adding an MLproject file, which is a text file in YAML syntax, to the project’s root directory. The following is an example of an MLproject file: name: My Project python_env: python_env.yaml # or # conda_env: my_env.yaml # or # docker_env: # image: mlflow-docker-example entry_points: main: parameters: data_file: path regularization: {type: float, default: 0.1} command: ""python train.py -r {regularization} {data_file}"" validate: parameters: data_file: path command: ""python validate.py {data_file}"" The file can specify a name and a Conda or Docker environment, as well as more detailed information about each entry point. Specifically, each entry point defines a command to run and parameters to pass to the command (including data types). Specifying an Environment This section describes how to specify Conda and Docker container environments in an MLproject file. MLproject files cannot specify both a Conda environment and a Docker environment. Virtualenv environmentInclude a top-level python_env entry in the MLproject file. The value of this entry must be a relative path to a python_env YAML file within the MLflow project’s directory. The following is an example MLProject file with a python_env definition: python_env: files/config/python_env.yaml",6,projects.html
What is the relative path to the python_env YAML file within the MLflow project's directory?,The relative path to the python_env YAML file within the MLflow project's directory is files/config/python_env.yaml.,"be a relative path to a python_env YAML file within the MLflow project’s directory. The following is an example MLProject file with a python_env definition: python_env: files/config/python_env.yaml python_env refers to an environment file located at <MLFLOW_PROJECT_DIRECTORY>/files/config/python_env.yaml, where <MLFLOW_PROJECT_DIRECTORY> is the path to the MLflow project’s root directory. The following is an example of a python_env.yaml file: # Python version required to run the project. python: ""3.8.15"" # Dependencies required to build packages. This field is optional. build_dependencies: - pip - setuptools - wheel==0.37.1 # Dependencies required to run the project. dependencies: - mlflow==2.3 - scikit-learn==1.0.2 Conda environmentInclude a top-level conda_env entry in the MLproject file. The value of this entry must be a relative path to a Conda environment YAML file within the MLflow project’s directory. In the following example: conda_env: files/config/conda_environment.yaml conda_env refers to an environment file located at <MLFLOW_PROJECT_DIRECTORY>/files/config/conda_environment.yaml, where <MLFLOW_PROJECT_DIRECTORY> is the path to the MLflow project’s root directory. Docker container environmentInclude a top-level docker_env entry in the MLproject file. The value of this entry must be the name of a Docker image that is accessible on the system executing the project; this image name may include a registry path and tags. Here are a couple of examples. Example 1: Image",7,projects.html
What are the additional local volume mounted and environment variables in the docker container?,"In this example, the docker container has one additional local volume mounted and two additional environment variables. The additional local volume is mounted using the 'new_var_value' parameter, and the two additional environment variables are one newly-defined variable and one copied from the host system using the 'VAR_TO_COPY_FROM_HOST_ENVIRONMENT' parameter.","""new_var_value""], ""VAR_TO_COPY_FROM_HOST_ENVIRONMENT""] In this example our docker container will have one additional local volume mounted, and two additional environment variables: one newly-defined, and one copied from the host system. Example 3: Image in a remote registry docker_env: image: 012345678910.dkr.ecr.us-west-2.amazonaws.com/mlflow-docker-example-environment:7.0 In this example, docker_env refers to the Docker image with name mlflow-docker-example-environment and tag 7.0 in the Docker registry with path 012345678910.dkr.ecr.us-west-2.amazonaws.com, which corresponds to an Amazon ECR registry. When the MLflow project is run, Docker attempts to pull the image from the specified registry. The system executing the MLflow project must have credentials to pull this image from the specified registry. Example 4: Build a new image docker_env: image: python:3.8 mlflow run ... --build-image To build a new image that’s based on the specified image and files contained in the project directory, use the --build-image argument. In the above example, the image python:3.8 is pulled from Docker Hub if it’s not present locally, and a new image is built based on it. The project is executed in a container created from this image. Command Syntax When specifying an entry point in an MLproject file, the command can be any string in Python format string syntax. All of the parameters declared in the entry point’s parameters field are passed into this string for substitution. If you call the",9,projects.html
How does MLflow run a Project on Kubernetes?,"MLflow runs a Project on Kubernetes by pushing the new Project image to a specified Docker registry and starting a Kubernetes Job on a specified Kubernetes cluster. The Kubernetes Job then downloads the Project image and starts a corresponding Docker container. Finally, the container invokes the Project's entry point, logging parameters, tags, metrics, and artifacts to the MLflow tracking server.","Docker environment. MLflow then pushes the new Project image to your specified Docker registry and starts a Kubernetes Job on your specified Kubernetes cluster. This Kubernetes Job downloads the Project image and starts a corresponding Docker container. Finally, the container invokes your Project’s entry point, logging parameters, tags, metrics, and artifacts to your MLflow tracking server. Execution guide You can run your MLflow Project on Kubernetes by following these steps: Add a Docker environment to your MLflow Project, if one does not already exist. For reference, see Specifying an Environment. Create a backend configuration JSON file with the following entries: kube-context The Kubernetes context where MLflow will run the job. If not provided, MLflow will use the current context. If no context is available, MLflow will assume it is running in a Kubernetes cluster and it will use the Kubernetes service account running the current pod (‘in-cluster’ configuration). repository-uri The URI of the docker repository where the Project execution Docker image will be uploaded (pushed). Your Kubernetes cluster must have access to this repository in order to run your MLflow Project. kube-job-template-path The path to a YAML configuration file for your Kubernetes Job - a Kubernetes Job Spec. MLflow reads the Job Spec and replaces certain fields to facilitate job execution and monitoring; MLflow does not modify the original template file. For more information about writing",14,projects.html
What fields are replaced when MLflow creates a Kubernetes Job for an MLflow Project?,"When MLflow creates a Kubernetes Job for an MLflow Project, the following fields are replaced: metadata.name is replaced with a string containing the name of the MLflow Project and the time of Project execution, spec.template.spec.container[0].name is replaced with the name of the MLflow Project, spec.template.spec.container[0].image is replaced with the URI of the Docker image created during Project execution (including the Docker image’s digest hash), and spec.template.spec.container[0].command is replaced with the Project entry point command specified when executing the MLflow Project.","by creating Kubernetes Job resources. MLflow creates a Kubernetes Job for an MLflow Project by reading a user-specified Job Spec. When MLflow reads a Job Spec, it formats the following fields: metadata.name Replaced with a string containing the name of the MLflow Project and the time of Project execution spec.template.spec.container[0].name Replaced with the name of the MLflow Project spec.template.spec.container[0].image Replaced with the URI of the Docker image created during Project execution. This URI includes the Docker image’s digest hash. spec.template.spec.container[0].command Replaced with the Project entry point command specified when executing the MLflow Project. The following example shows a simple Kubernetes Job Spec that is compatible with MLflow Project execution. Replaced fields are indicated using bracketed text. Example Kubernetes Job Spec apiVersion: batch/v1 kind: Job metadata: name: ""{replaced with MLflow Project name}"" namespace: mlflow spec: ttlSecondsAfterFinished: 100 backoffLimit: 0 template: spec: containers: - name: ""{replaced with MLflow Project name}"" image: ""{replaced with URI of Docker image created during Project execution}"" command: [""{replaced with MLflow Project entry point command}""] env: [""{appended with MLFLOW_TRACKING_URI, MLFLOW_RUN_ID and MLFLOW_EXPERIMENT_ID}""] resources: limits: memory: 512Mi requests: memory: 256Mi restartPolicy: Never The container.name, container.image, and container.command fields are only replaced for the first",16,projects.html
What is the syntax for searching runs using the MLflow UI and API?,"The syntax for searching runs using the MLflow UI and API is a search filter API, which is a simplified version of the SQL WHERE clause. It consists of one or more expressions joined by the AND keyword. Each expression has three parts: an identifier on the left-hand side (LHS), a comparator, and a constant on the right-hand side (RHS). The syntax does not support the OR keyword.","Documentation Search Runs Search Runs The MLflow UI and API support searching runs within a single experiment or a group of experiments using a search filter API. This API is a simplified version of the SQL WHERE clause. Table of Contents Syntax Example Expressions Identifier Entity Names Containing Special Characters Entity Names Starting with a Number Run Attributes Datasets MLflow Tags Comparator Constant Programmatically Searching Runs Python R Java Syntax A search filter is one or more expressions joined by the AND keyword. The syntax does not support OR. Each expression has three parts: an identifier on the left-hand side (LHS), a comparator, and constant on the right-hand side (RHS). Example Expressions Search for the subset of runs with logged accuracy metric greater than 0.92. metrics.accuracy > 0.92 Search for all completed runs. attributes.status = ""FINISHED"" Search for all failed runs. attributes.status = ""FAILED"" Search for runs created after UNIX timestamp 1670628787527. attributes.created > 1670628787527 attributes.Created > 1670628787527 attributes.start_time > 1670628787527 Search for the subset of runs with F1 score greater than 0.5. metrics.`f1 score` > 0.5 Search for runs created by user ‘john@mlflow.com’. tags.`mlflow.user` = 'john@mlflow.com' Search for runs with models trained using scikit-learn (assumes runs have a tag called model whose value starts with sklearn). tags.`model` LIKE 'sklearn%' Search for runs with logistic regression models, ignoring",0,search-runs.html
What is the syntax for searching runs using the MLflow UI and API?,"The syntax for searching runs using the MLflow UI and API is a search filter API, which is a simplified version of the SQL WHERE clause. A search filter consists of one or more expressions joined by the AND keyword. Each expression has three parts: an identifier on the left-hand side (LHS), a comparator, and a constant on the right-hand side (RHS). The syntax does not support the OR keyword.","Documentation Search Runs Search Runs The MLflow UI and API support searching runs within a single experiment or a group of experiments using a search filter API. This API is a simplified version of the SQL WHERE clause. Table of Contents Syntax Example Expressions Identifier Entity Names Containing Special Characters Entity Names Starting with a Number Run Attributes Datasets MLflow Tags Comparator Constant Programmatically Searching Runs Python R Java Syntax A search filter is one or more expressions joined by the AND keyword. The syntax does not support OR. Each expression has three parts: an identifier on the left-hand side (LHS), a comparator, and constant on the right-hand side (RHS). Example Expressions Search for the subset of runs with logged accuracy metric greater than 0.92. metrics.accuracy > 0.92 Search for all completed runs. attributes.status = ""FINISHED"" Search for all failed runs. attributes.status = ""FAILED"" Search for runs created after UNIX timestamp 1670628787527. attributes.created > 1670628787527 attributes.Created > 1670628787527 attributes.start_time > 1670628787527 Search for the subset of runs with F1 score greater than 0.5. metrics.`f1 score` > 0.5 Search for runs created by user ‘john@mlflow.com’. tags.`mlflow.user` = 'john@mlflow.com' Search for runs with models trained using scikit-learn (assumes runs have a tag called model whose value starts with sklearn). tags.`model` LIKE 'sklearn%' Search for runs with logistic regression models, ignoring",0,search-runs.html
What are the key parts of a search expression in MLflow?,"The key parts of a search expression in MLflow are the identifier, entity type, entity name, comparison operator, and comparison value. The identifier is used to signify the entity to compare against and has two parts: the type of the entity and the name of the entity. The entity type can be metrics, params, attributes, datasets, or tags. The entity name can contain alphanumeric characters and special characters. When a metric, parameter, or tag name contains a special character, it should be enclosed in double quotes or backticks. The comparison operator is used to specify the comparison to be performed, such as equals, not equals, greater than, less than, etc. The comparison value is the value to compare the entity against.","with models trained using scikit-learn (assumes runs have a tag called model whose value starts with sklearn). tags.`model` LIKE 'sklearn%' Search for runs with logistic regression models, ignoring case (assumes runs have a tag called type whose value contains logistic). tags.`type` ILIKE '%Logistic%' Search for runs whose names contain alpha. attributes.`run_name` ILIKE ""%alpha%"" attributes.`run name` ILIKE ""%alpha%"" attributes.`Run name` ILIKE ""%alpha%"" attributes.`Run Name` ILIKE ""%alpha%"" Search for runs created using a Logistic Regression model, a learning rate (lambda) of 0.001, and recorded error metric under 0.05. params.alpha = ""0.3"" and params.lambda = ""0.001"" and metrics.error <= 0.05 Identifier Required in the LHS of a search expression. Signifies an entity to compare against. An identifier has two parts separated by a period: the type of the entity and the name of the entity. The type of the entity is metrics, params, attributes, datasets, or tags. The entity name can contain alphanumeric characters and special characters. This section describes supported entity names and how to specify such names in search expressions. In this section: Entity Names Containing Special Characters Entity Names Starting with a Number Run Attributes Datasets MLflow Tags Entity Names Containing Special Characters When a metric, parameter, or tag name contains a special character like hyphen, space, period, and so on, enclose the entity name in double quotes or backticks. Examples",1,search-runs.html
What are some examples of entity names that contain special characters?,"Some examples of entity names that contain special characters are params.""model-type"" and metrics.`error rate`.","Containing Special Characters When a metric, parameter, or tag name contains a special character like hyphen, space, period, and so on, enclose the entity name in double quotes or backticks. Examples params.""model-type"" metrics.`error rate` Entity Names Starting with a Number Unlike SQL syntax for column names, MLflow allows logging metrics, parameters, and tags names that have a leading number. If an entity name contains a leading number, enclose the entity name in double quotes. For example: metrics.""2019-04-02 error rate"" Run Attributes You can search using the following run attributes contained in mlflow.entities.RunInfo: run_id, run_name, status, artifact_uri, user_id, start_time and end_time. The run_id, run_name, status, user_id and artifact_uri attributes have string values, while start_time and end_time are numeric. Other fields in mlflow.entities.RunInfo are not searchable. Run name, Run Name and run name are aliases for run_name. created and Created are aliases for start_time. Note The experiment ID is implicitly selected by the search API. A run’s lifecycle_stage attribute is not allowed because it is already encoded as a part of the API’s run_view_type field. To search for runs using run_id, it is more efficient to use get_run APIs. Example attributes.artifact_uri = 'models:/mymodel/1' attributes.status = 'ACTIVE' # RHS value for start_time and end_time are unix timestamp attributes.start_time >= 1664067852747 attributes.end_time < 1664067852747",2,search-runs.html
